amount,time,is_international,card_present,Class
2397.371322408986,9,0,0,0
1889.3885590630523,23,0,1,0
2518.150830480554,16,1,1,0
3218.4238851264204,20,0,1,0
1812.6773002213313,1,0,1,0
1812.6904344406555,5,0,1,0
3263.370252405913,4,0,1,0
2613.9477833223273,3,0,1,0
1624.4204912520383,1,0,0,0
2434.0480348687715,11,0,1,0
1629.2658457500302,2,0,1,0
1627.4161971437945,5,0,1,0
2193.5698172528273,23,0,1,0
469.3758042737618,13,0,1,0
620.0657339895738,7,0,1,0
1550.1699766072218,20,0,1,0
1189.735103732461,20,0,0,0
2251.397866076219,13,1,1,0
1273.5807395830311,2,0,1,0
870.1570389317669,15,0,1,0
3172.5190151372435,14,0,1,0
1819.3789596107715,6,0,1,0
2054.022563750339,14,0,1,0
860.2014510292345,12,0,1,0
1564.4938203798538,5,0,1,0
2088.738071767893,14,0,1,0
1079.2051380621579,16,0,1,0
2300.5584146765377,3,1,1,0
1519.489048064956,21,0,0,0
1766.6450001653786,21,0,1,0
1518.6347102164825,13,0,0,0
3481.82254760715,14,0,1,0
1989.2022202096528,11,0,1,0
1153.8312568352799,18,0,1,0
2658.0359296825513,21,1,0,0
1023.3250800231822,9,0,1,0
2167.090876003804,5,0,1,0
432.2639008961796,8,1,1,0
937.4511608812556,1,0,1,0
2157.4889886952988,3,0,1,0
2590.7732639963283,8,0,1,0
2137.0946249519766,14,0,1,0
1907.4813740894076,12,0,1,0
1759.117043528569,19,0,1,0
817.182407706058,7,1,1,0
1424.1246332842331,18,0,0,0
1631.48898323217,18,0,1,0
2845.6977809751324,15,0,1,0
2274.894631654769,10,0,1,0
589.5678757098128,9,0,1,0
2259.2671755158362,7,0,1,0
1691.9341756669469,0,0,1,0
1458.462399755233,9,0,1,0
2489.3410310726945,17,1,1,0
2824.799617996761,2,1,1,0
2745.024095292959,10,0,1,0
1328.6259814218893,17,0,1,0
1752.6300993190284,2,0,0,0
2265.0107451228514,7,0,0,0
2780.4361016978874,13,1,1,0
1616.6606097237682,5,0,1,0
1851.4728186689463,14,0,1,0
1114.9320207951773,13,0,1,0
1043.0347007354635,6,0,0,0
2650.0206579153582,9,0,1,0
3084.9920228566584,14,0,1,0
1942.3919027357329,9,1,1,0
2802.8263183136196,21,0,1,0
2289.308820038107,16,0,1,0
1483.9041963159007,18,0,1,0
2289.116484406731,16,0,1,0
3230.429253172775,11,0,1,0
1971.3391687120388,14,0,1,0
3251.714924651205,11,1,1,0
-95.7960832717954,8,0,1,0
2657.522003500179,4,0,0,0
2069.637654590537,3,0,1,0
1760.794119627306,11,0,1,0
2073.408621228402,15,0,1,0
409.94486831928566,8,0,1,0
1824.2624897299904,2,0,1,0
2285.6900572093973,20,0,1,0
3182.315235793213,2,0,1,0
1585.383825381082,17,0,1,0
1353.2051176854497,16,0,1,0
